Fecha,México,Susana_00_min,Susana_20_min,Susana_50_min,Susana_00_max,Susana_20_max,Susana_50_max,Susana_00,Susana_20,Susana_50
2020-02-28,1.0,,,,,,,,,
2020-02-29,4.0,,,,,,,,,
2020-03-01,5.0,,,,,,,,,
2020-03-02,5.0,,,,,,,,,
2020-03-03,5.0,,,,,,,,,
2020-03-04,5.0,,,,,,,,,
2020-03-05,5.0,,,,,,,,,
2020-03-06,6.0,,,,,,,,,
2020-03-07,7.0,,,,,,,,,
2020-03-08,7.0,,,,,,,,,
2020-03-09,7.0,,,,,,,,,
2020-03-10,7.0,,,,,,,,,
2020-03-11,11.0,,,,,,,,,
2020-03-12,16.0,,,,,,,,,
2020-03-13,30.0,,,,,,,,,
2020-03-14,44.0,,,,,,,,,
2020-03-15,55.0,,,,,,,,,
2020-03-16,75.0,,,,,,,,,
2020-03-17,101.0,,,,,,,,,
2020-03-18,118.0,,,,,,,,,
2020-03-19,177.0,177.0,177.0,177.0,177.0,177.0,177.0,177.0,177.0,177.0
2020-03-20,203.0,218.0,218.0,218.0,192.0,192.0,192.0,208.0,208.0,208.0
2020-03-21,251.0,265.0,265.0,265.0,209.0,209.0,209.0,244.0,244.0,244.0
2020-03-22,316.0,319.0,319.0,319.0,245.0,245.0,245.0,292.0,292.0,292.0
2020-03-23,356.0,378.0,378.0,378.0,298.0,298.0,298.0,351.0,351.0,351.0
2020-03-24,405.0,442.0,442.0,442.0,367.0,367.0,367.0,422.0,422.0,422.0
2020-03-25,475.0,509.0,509.0,509.0,457.0,457.0,457.0,503.0,503.0,503.0
2020-03-26,585.0,581.0,581.0,581.0,573.0,573.0,573.0,597.0,597.0,597.0
2020-03-27,717.0,656.0,656.0,656.0,724.0,724.0,724.0,707.0,707.0,707.0
2020-03-28,848.0,735.0,732.0,727.0,920.0,904.0,886.0,834.0,826.0,817.0
2020-03-29,993.0,820.0,807.0,792.0,1174.0,1117.0,1052.0,981.0,953.0,922.0
2020-03-30,1094.0,908.0,881.0,851.0,1503.0,1370.0,1222.0,1151.0,1090.0,1022.0
2020-03-31,1215.0,1002.0,955.0,903.0,1931.0,1672.0,1396.0,1348.0,1237.0,1117.0
2020-04-01,1378.0,1101.0,1028.0,949.0,2486.0,2031.0,1575.0,1577.0,1396.0,1207.0
2020-04-02,1510.0,1206.0,1100.0,990.0,3207.0,2459.0,1759.0,1842.0,1566.0,1292.0
2020-04-03,1688.0,1317.0,1172.0,1027.0,4142.0,2970.0,1948.0,2150.0,1750.0,1373.0
2020-04-04,1890.0,1434.0,1243.0,1060.0,5356.0,3578.0,2143.0,2506.0,1947.0,1449.0
2020-04-05,2143.0,1558.0,1314.0,1089.0,6931.0,4302.0,2343.0,2919.0,2160.0,1522.0
2020-04-06,2439.0,1689.0,1384.0,1115.0,8975.0,5166.0,2549.0,3398.0,2389.0,1591.0
2020-04-07,2785.0,1827.0,1453.0,1138.0,11627.0,6195.0,2761.0,3952.0,2635.0,1657.0
2020-04-08,,1973.0,1522.0,1159.0,15069.0,7421.0,2979.0,4596.0,2901.0,1719.0
2020-04-09,,2128.0,1590.0,1177.0,19535.0,8882.0,3204.0,5341.0,3186.0,1779.0
2020-04-10,,2291.0,1657.0,1193.0,25330.0,10622.0,3434.0,6205.0,3494.0,1835.0
